Name	Total Sales	Total Cost of Goods Sold	Average Inventory	Average Price
Band - RBZ - #01 Light	5710	10590.50034580596	787.6162790697674	6.099668322995427
Band - RBZ - #02 Medium	13755	50544.83238914194	1492.6744186046512	12.604095603977694
Band - RBZ - #03 Heavy	15089	78799.6975489195	1600.7906976744187	17.334229786419904
Band - RBZ - #04 Robust	12184	82508.88926625028	1135.3139534883721	22.707565853563345
Band - RBZ - #05 Power	7687	83407.25927724848	688.6627906976744	37.15806739710637
Band - RBZ - #06 Strong	1581	22759.68646846123	203.27906976744185	50.70877376896212
Band - RBZ - #08 Monster	209	5598.762967741935	32.54651162790697	79.21789473684211
Band - RBZ - #09 Agility	84	2066.6450381679388	21.930232558139537	57.56578947368421
Band - RBZ - #10 Explosive	77	2864.8708352693884	43.75581395348837	60.09051724137931
Accessory - Hand Grip	3539	4612.237463707534	280.6220930232558	4.1478096096760995
Accessory - Ankle Grip	1591	2369.153462872175	171.5487804878049	6.0530803338549815
Accessory - Door Strap	1830	922.014765294344	740.0939759036144	3.544347720779952
Accessory - Carabiner, Metal Small	2560	486.4	938.4216867469879	0.8605009583298912
Accessory - Carabiner, Metal Big	2099	889.7727879901961	425.4578313253012	0.7585764071925232
Accessory - Hand Strap	532	508.09336	217.85714285714286	3.5
Accessory - Travel Bag	1182	1557.72356	627.0714285714286	6.317980426746266
Accessory - DVD	1055	284.85	3172.940476190476	NaN
Accessory - DVD Sleeve	1055	25.0668	1529.5595238095239	NaN
Accessory - Manual	1067	1326.0787199999997	225.48809523809524	10.24729474841365
"Battle Rope - 1.5""x30'"	9	350.23333333333335	5.963855421686747	119.95000000000002
"Battle Rope - 1.5""x50'"	9	540.6548387096775	6.542168674698795	159.95000000000002
"Battle Rope - 2""x30'"	5	357.8333333333333	2.7590361445783134	153.5
"Battle Rope - 2""x50'"	4	440.6666666666667	4.493975903614458	249.94999999999996
Back Support Pad	757	3773.6	243.92592592592592	26.710662500554875
Jump Rope	1045	4621.152105263158	170.49382716049382	12.685984654510735
Gym Rings - Plastic	236	4556.0	84.85185185185185	45.17460224406952
Slam Ball - 15 lb	52	493.425	22.160493827160494	44.99
Slam Ball - 20 lb	60	598.0	25.382716049382715	54.99
Slam Ball - 25 lb	25	876.2552631578947	10.5	64.99
Slam Ball - 30 lb	17	229.5	24.432098765432098	74.99
Wall Ball - 10 lb	9	303.87600000000003	27.451219512195124	85.5
Wall Ball - 14 lb	5	60.55526315789474	4.37037037037037	95.5
Wall Ball - 20 lb	7	330.9421052631579	4.271604938271605	109.95
Band - FF - #02 Red	1950	5996.0	330.27027027027026	8.249752851070928
Band - FF - #03 Black	5561	27537.77	571.9333333333333	11.423546959787984
Band - FF - #04 Purple	5316	32617.08118811881	647.5394736842105	15.49785047183424
Band - FF - #05 Green	4753	41014.14	572.4605263157895	23.173435626266144
Band - FF - #06 Blue	671	10163.9	200.7171052631579	27.364309757037635
Pull up Bar - Small	534	4966.200000000001	987.1666666666666	21.0091211071088
Pull up Bar - Big	283	3933.7000000000003	336.19444444444446	35.876802721088445
Band - FF - #01 Orange	368	791.8	376.1212121212121	5.627372077435487
"Band - RBZ - 12"" #02 Medium"	15	25.30078125	45.27272727272727	5.3
"Band - RBZ - 12"" #05 Power"	59	206.5	32.21739130434783	8.306363636363637
Accessory - Sticker	0	0	0.45	0
Wall Ball - 12 lb	1	11.771052631578947	3.72972972972973	89.95
Wall Ball - 16 lb	0	0	4.918918918918919	0
Wall Ball - 18 lb	1	12.961052631578948	4.4324324324324325	105.5
Wall Ball - 25 lb	0	0	4.918918918918919	0
Wall Ball - 30 lb	2	29.322105263157894	5.351351351351352	128.5
Slam Ball - 10 lb	32	262.4	11.675675675675675	34.99
Slam Ball - 35 lb	3	32.253157894736844	2.72972972972973	84.99
Gym Rings - Wood	2	30.002105263157894	4.466666666666667	74.95
Band - FF - #07 Orange	21	411.6	88.64285714285714	32.63062075921511
Band - FF - #08 Gray	22	519.2	83.77777777777777	43.374050739814884
Balance Pad	0	0	20.0	0
Foam Yoga Mat	0	0	20.0	0
"Foam Roller - EVA - 18""x6"""	0	0	20.0	0
"Foam Roller - EVA - 36""x6"""	0	0	20.0	0
Push up grips	0	0	20.0	0
Ab Straps	0	0	20.0	0
Agility Ladder - 15'	0	0	20.0	0
