merchant order id,tracking number,carrier code,other carrier name,ship date
104-7627628-8790646,'9405510200793360698043',USPS,"",2012-08-20
104-7627628-8790646,'9405510200829461773850',USPS,"",2012-08-20
104-5525900-3471452,'9400110200829461780510',USPS,"",2012-08-20
002-3074916-5021840,'9405510200829461790727',USPS,"",2012-08-20
104-4842478-5750649,'9405510200830487718800',USPS,"",2012-08-20
102-5507824-5124242,'9405510200793360721871',USPS,"",2012-08-20
002-9308505-8502649/DB,'9400110200882461850263',USPS,"",2012-08-20
002-9308505-8502649/DB,'9400110200883469635401',USPS,"",2012-08-20
104-6793705-6130633/DB,'9405510200883469646370',USPS,"",2012-08-20
via Jason,'9405510200828461985669',USPS,"",2012-08-20
102-5005796-2562635,'9405510200830487792008',USPS,"",2012-08-20
102-3585893-3005065,'9400110200881461759415',USPS,"",2012-08-20
102-3497354-7880261,'9400110200830487797420',USPS,"",2012-08-20
102-2225963-9545825,'9405510200883469702250',USPS,"",2012-08-20
102-2212836-3341032,'9405510200830487802547',USPS,"",2012-08-20
102-1822777-3039428,'9405510200883469707767',USPS,"",2012-08-20
102-1289413-9063457,'9405510200830487808488',USPS,"",2012-08-20
102-1257201-5295430,'9405510200881461774275',USPS,"",2012-08-20
002-4264269-3849835,'9400110200828462038941',USPS,"",2012-08-20
002-0465773-0324222,'9400110200881461780457',USPS,"",2012-08-20
102-8932880-3340260,'9405510200830487820824',USPS,"",2012-08-20
104-5129385-7495419,'9400110200793360823442',USPS,"",2012-08-20
104-4285135-8616233,'9400110200830487826090',USPS,"",2012-08-20
104-2299042-3445010,'9400110200829461900154',USPS,"",2012-08-20
104-1925163-6429820,'9405510200828462056887',USPS,"",2012-08-20
104-0593069-2449020,'9400110200829461927267',USPS,"",2012-08-20
103-9883445-7253000,'9400110200883469765481',USPS,"",2012-08-20
103-6373710-2226632,'9400110200830487868137',USPS,"",2012-08-20
103-5514602-3525006,'9405510200883469771812',USPS,"",2012-08-20
103-4773261-8337814,'9400110200829461940778',USPS,"",2012-08-20
103-4147678-6697055,'9405510200882461991600',USPS,"",2012-08-20
103-3784723-4955426,'9400110200829461948750',USPS,"",2012-08-20
103-3030868-0990621,'9400110200830487886605',USPS,"",2012-08-20
103-2990865-2418649,'9405510200828462111029',USPS,"",2012-08-20
102-9064776-3142636,'9400110200881461855179',USPS,"",2012-08-20
105-9450341-6125813,'9405510200882462012199',USPS,"",2012-08-20
105-9174276-5464258,'9400110200883469805637',USPS,"",2012-08-20
105-8732255-7023404,'9400110200793360908910',USPS,"",2012-08-20
