name	price	products
2 Heavy Resistance Bands	34.99	2 - Band - RBZ - #03 Heavy
2 Light Resistance Bands	11.99	2 - Band - RBZ - #01 Light
2 Medium Resistance Bands	24.99	2 - Band - RBZ - #02 Medium
2 Power Resistance bands	69.99	2 - Band - RBZ - #05 Power
2 Robust Resistance Bands	43.99	2 - Band - RBZ - #04 Robust
6' Agility Band	53.95	1 - Band - RBZ - #09 Agility
Bamboo Barbell	0.0	1 - ZZ - Do not Inventory - Bamboo Barbell
Basic Package	44.95	2 - Band - RBZ - #01 Light, 2 - Accessory - Hand Grip, 1 - Accessory - Door Strap, 2 - Accessory - Carabiner, Metal Small, 1 - Accessory - Travel Bag - Large, 1 - Accessory - DVD, 1 - Accessory - DVD Sleeve, 1 - Accessory - Manual
Carabiner	0.99	1 - Accessory - Carabiner, Metal Big
Carabiners	0.99	1 - Accessory - Carabiner, Metal Small
Complete Resistance Band Set	133.99	1 - Band - RBZ - #01 Light, 1 - Band - RBZ - #02 Medium, 1 - Band - RBZ - #03 Heavy, 1 - Band - RBZ - #04 Robust, 1 - Band - RBZ - #05 Power, 1 - Band - RBZ - #06 Strong
Complete Set of Bands	133.99	1 - Band - RBZ - #01 Light, 1 - Band - RBZ - #02 Medium, 1 - Band - RBZ - #03 Heavy, 1 - Band - RBZ - #04 Robust, 1 - Band - RBZ - #05 Power, 1 - Band - RBZ - #06 Strong
Deluxe Package	74.95	2 - Band - RBZ - #01 Light, 1 - Band - RBZ - #02 Medium, 1 - Band - RBZ - #03 Heavy, 2 - Accessory - Hand Grip, 1 - Accessory - Door Strap, 2 - Accessory - Carabiner, Metal Small, 1 - Accessory - Travel Bag - Large, 1 - Accessory - DVD, 1 - Accessory - DVD Sleeve, 1 - Accessory - Manual
Door Strap	5.49	1 - Accessory - Door Strap
Exercise Manual	12.95	1 - Accessory - Manual
Hand Strap	3.5	1 - Accessory - Hand Strap
Hand Straps	3.5	1 - Accessory - Hand Strap
Heavy Resistance Band	19.5	1 - Band - RBZ - #03 Heavy
Heavy/Power Resistance Combo	52.99	1 - Band - RBZ - #03 Heavy, 1 - Band - RBZ - #05 Power
Heavy/Robust Resistance Combo	37.99	1 - Band - RBZ - #03 Heavy, 1 - Band - RBZ - #04 Robust
Light - Medium - Heavy Resistance Combo	34.99	1 - Band - RBZ - #01 Light, 1 - Band - RBZ - #02 Medium, 1 - Band - RBZ - #03 Heavy
Light Exercise Band	6.95	1 - Band - RBZ - #01 Light
Medium Resistance Band	13.95	1 - Band - RBZ - #02 Medium
Medium/Heavy Resistance Combo	29.99	1 - Band - RBZ - #02 Medium, 1 - Band - RBZ - #03 Heavy
Padded Ankle Grip	10.95	1 - Accessory - Ankle Grip
Power Resistance Band	69.99	1 - Band - RBZ - #05 Power
Resistance Tutorial DVD	14.5	1 - Accessory - DVD, 1 - Accessory - DVD Sleeve
Robust Resistance Band	25.5	1 - Band - RBZ - #04 Robust
Robust/Power Resistance Combo	52.99	1 - Band - RBZ - #04 Robust, 1 - Band - RBZ - #05 Power
Rubberbanditz Adjustable Hand Strap	3.5	1 - Accessory - Hand Strap
Rubberbanditz Bamboo Barbell 46 inch Bar	0.0	1 - ZZ - Do not Inventory - Bamboo Barbell
Rubberbanditz Mobile Travel Gym Resistance Exercise Band Package Kit - Basic	44.95	2 - Band - RBZ - #01 Light, 2 - Accessory - Hand Grip, 1 - Accessory - Door Strap, 2 - Accessory - Carabiner, Metal Small, 1 - Accessory - Travel Bag - Large, 1 - Accessory - DVD, 1 - Accessory - DVD Sleeve, 1 - Accessory - Manual
